Company,year,cash_ratio,quick_ratio,current_ratio,lt_debt_to_equity,lt_debt_to_assets,liab_to_equity,liab_to_assets,st_debt_to_equity,st_debt_to_assets,ap_to_equity,ap_to_assets,assets_to_liab,ebitda_coverage,pe_basic,pe_diluted,pb_ratio,ps_ratio,pb_tangible,market_cap,price_to_cfo,ev,ev_to_revenue,ev_to_ebitda,ev_to_ebit,eps_diluted,Financial_Distress
DRC,2023,0.21267392849198238,0.734413055601506,1.5196751497249488,0.01340584657380862,0.00733357339461793,0.8280101462742704,0.4529570844898569,0.3051263176593898,0.16691719041126665,0.28981643814279584,0.1585420292844001,2.2077146693185083,0.6693015570752883,9.185149469623916,,1.22233256417276,0.5034285353565695,1.2232062347294692,2262999125250.0,7.372181926837129,2531980347413.0,0.5632663060393044,6.455603731070228,8.248443204432437,2074.0,0
DRC,2024,0.10315848773176044,0.6095802241313215,1.3086836790210212,0.06901076316975728,0.031548245941381045,1.1874675155628094,0.5428503541719055,0.42931430317698455,0.19626088164629366,0.49085026040857727,0.22439202270040906,1.8421282998432529,0.4907646893256645,13.6433611289288,,1.3128169251283688,0.540675709479117,1.314416154066442,2526718708350.0,8.365124163633446,3265079254463.0,0.6986725655603899,7.85668693345228,10.80959003367753,1559.0,0
DRH,2018,0.027220858754577897,0.5179916616743021,1.1657138325172067,0.04485580807732684,0.01581303321706096,1.8366352907506145,0.6474696612353766,0.5193577419645089,0.18308936071477816,0.016871691416200017,0.005947783090485179,1.5444739110895065,0.17191611046161218,7.923387096774194,8.264984227129338,0.6205201039213268,2.9477205392155708,0.621825007115907,479459473380.0,6.551374581837161,877729388596.0,5.396287048826263,11.993368210334278,11.993368210334278,951.0,0
DRH,2019,0.02432686653976028,0.5154057932198205,1.0531465345234439,0.016674458657648036,0.005769749488474243,1.8899796587282065,0.6539768032692417,0.1971088860358567,0.06820424685016586,0.08183379692051428,0.028316392011052037,1.529106223647356,0.34114450458673373,4.023591087811271,4.023591087811271,0.2310726866540783,0.5110896457878846,0.2314339692829959,187269794310.0,2.9528600820828164,323646525451.0,0.883283866801355,5.044620354152308,5.103241071152422,763.0,0
DRH,2020,0.034647668677200934,0.5545387370596665,1.1049858397469254,0.1349847967551228,0.04595025507456127,1.9376288888078954,0.6595894042947661,0.34778180774914524,0.11838861235132966,0.0922537440454504,0.03140415196654995,1.51609469995838,0.1511239155775018,11.436541143654114,11.436541143654114,0.5874640707680007,6.420051205566557,0.5880042169781582,500199450600.0,10.613600502031545,858155426103.0,11.014409894507883,17.941131788039037,18.208974140980185,717.0,0
DRH,2021,0.026426748702174145,0.4528146098583344,0.9388701856229354,0.0,0.0,2.173327815759388,0.6848734016593566,0.5155416686034854,0.16246089232987565,0.12847875048451357,0.04048707159924106,1.4601238675310413,0.08223064441565386,98.72727272727272,98.72727272727272,1.5431531972124528,17.67501155782431,1.5437405094148147,1324918544760.0,34.99565516731042,1718338007031.0,22.923404804499384,42.448228724437385,45.387216136998994,220.0,0
DRH,2022,0.07161561226073065,0.6426304619540508,1.116747460359806,0.0,0.0,1.3820042099613306,0.5801854607065392,0.43047289417874035,0.18071877974797057,0.05848240314086117,0.024551763131355077,1.7235867971979482,0.015310185819009283,4650.0,4650.0,0.357994032971131,9.599325333998348,0.3580155580315491,578245476900.0,61.39602362028799,1113961914883.0,18.49263549448387,94.07159798574645,118.2764669512245,1.0,1
DRH,2023,0.042657794074677964,0.6732405118121441,1.148227532500091,0.0,0.0,1.6227836740166681,0.6187257035695408,0.5123545191622584,0.1953476088165563,0.0584011339157536,0.022266851244469983,1.6162250804044807,-0.10644341365102471,-6.023952095808384,,0.4142137348609901,71.09511800940594,0.4142137348609901,625499945980.0,-6.504310060667972,1294983230889.0,147.18943816375486,-13.788824374163164,-13.465984307753974,-835.0,1
DRH,2024,3.6302171666309686e-05,0.5956659333345015,1.0869520756680748,0.0,0.0,1.9852586557811756,0.6650206513718918,0.5750824569187947,0.1926407468261099,0.06315866683321403,0.021156849076009735,1.5037127011575788,-0.2122811279147286,-1.162079510703364,,0.18081274765628408,66.15907004176992,0.18081274765628408,236272345400.0,-1.2520535286894294,987652706709.0,276.5545180054084,-5.29160920065323,-5.233765527917215,-1635.0,1
DRL,2018,8.351215620859113,9.649909981511534,9.7208539727845,0.0,0.0,0.07061011552711179,0.06595315559142378,0.0,0.0,0.00187420043639127,0.0017505910034004424,15.162276786192699,,4.777864380358535,4.777864380358535,1.8225060239709252,2.7618611263011594,1.822873501349701,232940000000.0,4.230333797181486,157571179692.0,1.868248114607837,2.8615896235632547,2.8615896235632547,5132.0,0
DRL,2019,2.396092473763203,3.363290560979733,3.398140766229925,0.0,0.0,0.2494744674852515,0.1996635177246599,0.0,0.0,0.0024845958075617593,0.0019885126685000366,5.008426233274226,,5.664917676859055,5.664917676859055,2.7303551534031136,3.3063777468538955,2.7303551534031136,297445000000.0,5.0236138495891165,232324577402.0,2.5825036990677543,3.7272277698314147,3.9237807481605875,5527.0,0
